No of Crimes per 100k
14254.00
0.00
12591.00
11242.00
12084.00
9494.00
9910.00
0.00
10521.00
12184.00
9803.00
0.00
0.00
11832.00
14044.00
9468.00
14090.00
0.00
11277.00
13412.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
9383.00
9587.00
0.00
0.00
0.00
10856.00
0.00
11356.00
0.00
10611.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
